name,alternative_names,tea_type,cultivars,processing,oxidation_level,cultural_significance,cultural_significance_source,country_of_origin,subregions,avg_price_per_oz_usd,liquor_appearance,liquor_aroma,liquor_taste,liquor_body_mouthfeel,body_effect,dry_leaf_appearance,dry_leaf_aroma,wet_leaf_appearance,wet_leaf_aroma
Assam Doomni,,black,Large-leaf Assamica,,high,Estate-grown Assam black tea from the Brahmaputra Valley,Camellia Sinensis,India,"Assam, Doomni Estate",,mostly clear; reddish-brown,"Sweet, fresh, woody, hay, sugar cane","malt, woody","medium body, astringent, slightly bitter",stimulating,"small, half‑black and half golden‑orange, downy, twisted leaves","Light woodiness, sweet hay",Typical muddy brown shredded leaves,"Sweet, woody, hay"
Ba Xian Dan Cong,Eight Immortals Dan Cong,oolong,Ba Xian,,medium,Associated with the Taoist Eight Immortals. The tea originates from a group of eight cuttings that survived to become eight unique-looking tea bushes.,Verdant Tea,China,"Guangdong, Chaozhou, Fenghuang, Wudong Shan",,"slightly hazy; warm, sunny orange-yellow; honey",sweet; honey; brioche,"honey; peach; nectarine; slightly sweet, slightly tart; fruity",thick; luscious; syrupy,,"large, withered, dark brown leaves with light brown accents",roasted; sweet; effervescent; peach; fruity,olive-green to mud-brown leaves,sweet; honey; intense; nectarine; peach; fruity
Bai Hao Yin Zhen,Silver Needle,white,Da Bai Hao; Fuding Dahao; Fuding Dabai; Zhenghe Dabai,lightly wilted and briefly pan-fried at a low temperature; naturally dried,low,Late‑Qing records describe it being produced in small quantities for tribute due to its use of only young downy buds.,"Willson ""Tea: A History of the Drink That Changed the World"" (2011); Fujian Tea Bureau archives",China,"Fujian, Fuding; Yunnan, Simao, Jinggu",,"soft, pale golden yellow; pale gold",light woodiness; raw pastry dough; cinnamon; vanilla; floral; slightly buttery; artichoke; fruity; sweet; melon; squash,woody; pastry dough; cinnamon; peppery; floral; sweet; vegetal; fruity; honeydew melon,smooth; medium body; juicy,calming,"medium‑sized green buds with a light white, silvery down",fresh; woody; sweet; peppery; molasses; rosemary; pine,vibrant green with brown accents,pepper; toast; vegetal; lightly woody; raw pastry dough; cinnamon; licorice; vanilla; floral; roasted squash
Bai Ji Guan,White Cockscomb,oolong,Bai Ji Guan,shade withering,medium,"Counted among Wuyi’s ""Four Famous Bushes."" Associated with a tale of a monk who cared for an injured rooster, A pale‑leaf tea bush was later found where the bird had rested, giving rise to the tea’s name and its place in Wuyi folklore.","Fujian Wuyi Tea Bureau (2018); Zhang ""China Tea Classic"" (2006)",China,"Fujian, Wuyi",,somewhat cloudy; buttercup yellow; apricot gold,char; honey; sweet; buttery; rich; fruity; dates; effervescent; yams; sweet potato,nutty; walnuts; yellow squash; sweet potato; buttery; honey; malty,medium body; juicy; lingering; slightly astringent,stimulating; warming,"large, withered, dark brown leaves with light brown accents",char; very sweet; pastry; almond; hay; wood,"large, mud-brown leaves",intensely fruity; date; effervescent; very sweet; grapefruit; nectarine; sweet potato; floral
Bai Lin,Bai Lin Gong Fu; Golden Monkey,black,Fuding Bai Hao,picked as one leaf and one bud; hand‑processed,high,"A Fujian black tea whose modern name ""Golden Monkey"" refers to the golden downy buds that resemble monkey fur and the curled leaf shape said to look like a monkey’s paw. The Bai Lin region has produced black tea since the late Qing period.",Fujian Tea Bureau; Tea Research Institute of CAAS,China,Fujian,,"cloudy, warm reddish-brown",very sweet; woody; cinnamon raisin toast; butterscotch; caramel; warm; floral; cooked pumpkin,sweet; slightly sour; fruity; floral; woody; raisins,smooth; light‑to‑medium body; slightly astringent,warming; comforting,"small, withered, downy, orange and black leaves with bud‑leaf pairs showing golden‑orange fur",chocolate-covered raisins; heavy; sweet; pungent; fruity; cherries; nectar; warm,"small, mud-brown leaves",floral; sweet; fruity; dried cherry; raisin
Bai Mu Dan,White Peony,white,Fuding Dabai; Zhenghe Dabai,,low,"A key tea in the Fuding white‑tea tradition, having been produced since the early 20th century. Its name reflects the layered bud‑and‑leaf appearance that resembles peony blossoms.",Fujian Tea Bureau; China White Tea Compendium (2010),China,"Fujian, Fuding",,"cloudy, elegant golden yellow; many little hairs",butter; cream; sweet; buttercream frosting; floral; apple cider,floral; sweet; cinnamon; pastry dough; soft; buttery; creamy; juicy; watermelon rind,smooth; medium body; creamy; juicy,calming,"medium‑to‑large, silvery, fuzzy, bright‑to‑dark green buds and leaves",very fresh; floral; somewhat fruity; Play-Doh; moss; honeysuckle; bright,uniform green that darkens with brewing,floral; frosting; sweet; creamy; buttery; pastry dough; vegetal; artichoke; pine
Bao Hong,Yi Liang Long Jing; Dragonwell of Yi Liang,green,Yunnan Da Ye Zhong,,low,A Yunnan green tea whose flat‑pan processing style resembles Long Jing. This technique is reflected in its nickname.,Yunnan Agricultural University; Yi Liang County Tea Records,China,"Yunnan, Yi Liang",,pale yellow,nutty; smoky; chestnuts; hay; salty; sweet,nutty; cashews; smoky; vegetal; sweet; salty; hazelnut; chestnut; savory,thick; rich,energizing,"full, plump, small leaves",smoked brisket; nutty; spicy; fruity; hay; floral; jasmine,green with brown and red accents,nutty; chestnut; vegetal
Bei Dou,Lost Robe,oolong,Bei Dou Yi Hao,picked up to the third or fourth leaf,medium,"A Wuyi rock‑tea cultivar whose name ""Bei Dou"" means Big Dipper. The nickname “Lost Robe” comes from its association with cuttings taken near the Da Hong Pao mother bushes. Viewed as a ""lost sibling"" of the famous Red Robe tea.","Wuyi Tea Research Institute; Fujian Agriculture Press ""Wuyi Rock Tea Varietal Records""",China,"Fujian, Wuyi, Zhengyan",,golden yellow orange; sunset orange,fudge; blackberries; antique wood; butterscotch; floral,sweet; black raspberry ice cream; chocolate cherry ice cream; blackberries; woody; floral; brandy; hazelnut; cooked apple,thick; comforting,,"medium‑to‑long, withered, broad, dark brown to black leaves",lightly woody; lightly plum; milk chocolate; strawberries,"oily, darker olive green with brown and red accents",dark chocolate; raspberry; black raspberry ice cream; strawberry; blackberry
Ben Shan,Green Dragon; Anxi Green Dragon,oolong,Ben Shan,sun-withered; traditional cloth-wrapped rolling; multiple re-rollings and light roasts,low,"One of the traditional Anxi oolong cultivars. Its name means “Origin Mountain”, referencing the local village where the cultivar was first propagated.",Anxi Tea Industry Records; Fujian Oolong Cultivar Register,China,"Fujian, Anxi County",,deep golden yellow; bright; clear with small particles,milky; buttery; cream; roasted; sweet,sweet; floral; toasty; grassy; caramel; butter; cream,light body; smooth,comforting,loosely rolled balls in mixed greens and browns,"fresh; sweet; roasted; milk chocolate; fruity; peach, nectarine; caramel; hay; coffee; floral; vegetal; marine; cantaloupe; tree bark; sandalwood",medium-large leaves from yellow-green to forest green with reddish-brown accents,fruity; white grape; champagne; sweet; effervescent; wild berries; sweet; vegetal
Ceylon White Tea,Sri Lankan White Tea,white,TRI 2043; TRI 2023; TRI 2024; TRI 2025,"minimally processed, sun-withered buds",very low,,,Sri Lanka,,,cloudy; pale moonlight yellow,sweet; woody; raw pastry dough,sweet; vegetal; woody; creamy; subtle,"thick, smooth",calming,"light, pale green buds with white down",intensely fruity; intensely floral; woody,dull green with brownish red edges,fruity; prune
